image,pname,ppid
sample001,System,4
sample001,"mdd.exe",244
sample001,"cmd.exe",1796
sample001,"wc.exe",364
sample001,"msimn.exe",1984
sample001,"wuauclt.exe",1628
sample001,"ctfmon.exe",556
sample001,"msmsgs.exe",548
sample001,"explorer.exe",284
sample001,"alg.exe",1888
sample001,"spoolsv.exe",1348
sample001,"svchost.exe",1116
sample001,"svchost.exe",1068
sample001,"svchost.exe",1024
sample001,"svchost.exe",940
sample001,"svchost.exe",852
sample001,"lsass.exe",692
sample001,"services.exe",680
sample001,"winlogon.exe",628
sample001,"csrss.exe",604
sample001,"smss.exe",356
